Co ID,Company,Site (FB/Tw/LI),Job/Career (Yes/No),FB Tab,URL,Start Year,Notes
65,Atlantic Health,LI,0,,https://www.linkedin.com/company/11804,, 
66,QuikTrip,LI,0,,https://www.linkedin.com/company/39542?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427856565402%2Ctas%3AQUIKTRIP,, 
66,QuikTrip,TW,0,,https://twitter.com/QuikTrip,2013, 
66,QuikTrip,FB,0,,https://www.facebook.com/Quiktrip?fref=ts,, 
67,Deloitte,FB,1,,https://www.facebook.com/CareersAtDeloitte?fref=ts,, 
67,Deloitte,TW,1,,https://twitter.com/lifeatdeloitte,2009, 
67,Deloitte,LI,1,,https://www.linkedin.com/company/1038?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427856925361%2Ctas%3ADELOITTE+C&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427856925361%2Ctas%3ADELOITTE+,, 
68,Genentech,FB,1,,https://www.facebook.com/GenentechJobs?fref=ts,, 
68,Genentech,TW,1,,https://twitter.com/GenentechJobs,2009, 
68,Genentech,LI,1,,https://www.linkedin.com/company/2276?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427857299061%2Ctas%3AGENENTECH,, 
69,Umpqua Bank,FB,0,,https://www.facebook.com/umpquabank?fref=ts,, 
69,Umpqua Bank,TW,1,,https://twitter.com/umpquabankjobs,2009, 
69,Umpqua Bank,LI,1,,https://www.linkedin.com/company/17603?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356083315%2Ctas%3AUMPQUA+BANK+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356083315%2Ctas%3AUMPQUA+BANK+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356083315%2Ctas%3AUMPQUA+BANK+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356083315%2Ctas%3AUMPQUA+BANK+,, 
70,Teach For America,LI,1,,https://www.linkedin.com/company/157314?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1428356111859%2Ctas%3ATEACH+FOR+AMERICA,, 
70,Teach For America,TW,1,,https://twitter.com/tfacareers,2012, 
70,Teach For America,FB,0,,https://www.facebook.com/teachforamerica?fref=ts,, 
71,Mayo Clinic,FB,1,,https://www.facebook.com/mayoclinicjobs/,, 
71,Mayo Clinic,TW,1,,https://twitter.com/mayoclinicjobs,2008, 
71,Mayo Clinic,LI,1,,https://www.linkedin.com/company/4725?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356247732%2Ctas%3AMAYO+CLINIC+J&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356247732%2Ctas%3AMAYO+CLINIC+,, 
72,EOG Resources,LI,1,,https://www.linkedin.com/company/22849?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356307677%2Ctas%3AEOG+RESOUR,, 
73,Starbucks,FB,0,1,https://www.facebook.com/Starbucks?fref=ts,, 
73,Starbucks,TW,1,,https://twitter.com/StarbucksJobs,2009, 
73,Starbucks,LI,1,,https://www.linkedin.com/company/2271?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1428356435298%2Ctas%3ASTARBUCKS+CA&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1428356435298%2Ctas%3ASTARBUCKS+C,, 
74,Rackspace Hosting,LI,1,,https://www.linkedin.com/company/5234?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356476261%2Ctas%3ARACKSPACE+HOSTING,, 
74,Rackspace Hosting,TW,1,,https://twitter.com/RackspaceJobs/status/8915237458,2009, 
74,Rackspace Hosting,FB,1,,https://www.facebook.com/RackspaceCareers?fref=ts,, 
75,FactSet Research Systems,FB,0,1,https://www.facebook.com/FactSet?fref=ts,, 
75,FactSet Research Systems,TW,1,,https://twitter.com/FactSetCareers,2009, 
75,FactSet Research Systems,LI,0,,https://www.linkedin.com/company/163755?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356611811%2Ctas%3AFACTSET+,, 
76,Microsoft,LI,1,,https://www.linkedin.com/company/1035?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356648177%2Ctas%3AMICROSOFT+JOB&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356648177%2Ctas%3AMICROSOFT+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356648177%2Ctas%3AMICROSOFT+,, 
76,Microsoft,TW,1,,https://twitter.com/MicrosoftJobs,2008, 
76,Microsoft,FB,1,,https://www.facebook.com/MicrosoftCareers?fref=ts,, 
77,Aflac,FB,0,,https://www.facebook.com/Aflac/?fref=ts,, 
77,Aflac,TW,0,,https://twitter.com/Aflac,2011, 
77,Aflac,LI,1,,https://www.linkedin.com/company/3997?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356797304%2Ctas%3AAFLAC+CA&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356797304%2Ctas%3AAFLAC+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356797304%2Ctas%3AAFLAC+,, 
78,Publix Super Markets,LI,1,,https://www.linkedin.com/company/7242?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356827489%2Ctas%3APUBLIX,, 
78,Publix Super Markets,TW,1,,https://twitter.com/PublixJobs,2009, 
78,Publix Super Markets,FB,1,,https://www.facebook.com/publixcareers?fref=ts,, 
79,Mattel,FB,1,,https://www.facebook.com/MattelCareers/,, 
79,Mattel,TW,1,,https://twitter.com/MattelRecruiter,2009, 
79,Mattel,LI,1,,https://www.linkedin.com/company/3214?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428356978918%2Ctas%3AMATTEL,, 
80,Stryker,TW,1,,https://twitter.com/Stryker_Jobs,2011, 
80,Stryker,LI,1,,https://www.linkedin.com/company/3282?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428357668667%2Ctas%3ASTRYKER+JOB&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428357668667%2Ctas%3ASTRYKER+,, 
81,SRC/SRCTec,LI,0,,https://www.linkedin.com/company/349093?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1428357695035%2Ctas%3ASRCTEC,, 
81,SRC/SRCTec,TW,1,,https://twitter.com/SRCTecCareers,2009, 
82,Hasbro,TW,1,,https://twitter.com/hasbrocareers,, 
82,Hasbro,LI,1,,https://www.linkedin.com/company/4934,, 
83,Bright Horizons Family Solutions,LI,1,,https://www.linkedin.com/company/9187?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428357913588%2Ctas%3ABRIGHT+HORIZON,, 
83,Bright Horizons Family Solutions,TW,1,,https://twitter.com/BHCareers,2015, 
83,Bright Horizons Family Solutions,FB,1,,https://www.facebook.com/BrightHorizonsCareers?fref=ts,, 
84,Booz Allen Hamilton,FB,0,,https://www.facebook.com/boozallen?fref=ts,, 
84,Booz Allen Hamilton,TW,0,,https://twitter.com/BoozAllen,2008, 
84,Booz Allen Hamilton,LI,1,,https://www.linkedin.com/company/1403?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428358240413%2Ctas%3ABOOZ+ALLEN+HAMILTON,, 
85,Hitachi Data Systems,LI,1,,https://www.linkedin.com/company/3065?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1428358264263%2Ctas%3AHITACHI+,, 
85,Hitachi Data Systems,TW,1,,https://twitter.com/hdscareers,2010, 
85,Hitachi Data Systems,FB,1,,https://www.facebook.com/HDSCareers?fref=ts,, 
86,The Everett Clinic,FB,0,,https://www.facebook.com/TheEverettClinic?fref=ts,, 
86,The Everett Clinic,TW,0,,https://twitter.com/everettclinic,2009, 
