companyString,date,twitteruserid,id,count(*),favoriteCount,retweetCount,isReply,isRetweet,isStatusQuote,hasPlace,hasCoords,possiblySensitive,hasExtendedMediaEntities,hasHashtagEntities,hasMediaEntities,hasMentionEntities,hasUrlEntities
Ernst & Young,2014,55,368378534,613,452,1951,60,130,1,0,0,0,225,469,225,383,166
Ernst & Young,2015,55,368378534,433,314,686,14,106,11,0,0,0,193,314,193,235,167
Ernst & Young,2016,55,368378534,140,142,235,4,26,3,0,0,0,95,84,95,55,59
American Express,2016,56,42712551,3240,10984,14285,2766,59,2,0,0,0,299,445,299,2963,453
Nordstrom,2016,57,15162193,3232,146544,51915,3174,1,0,0,0,0,41,29,41,3180,178
Build-A-Bear Workshop,2014,58,14997308,1854,5671,8397,1064,293,0,0,0,0,495,665,495,1385,603
Build-A-Bear Workshop,2015,58,14997308,1013,10429,6395,513,75,46,0,0,0,334,346,334,712,427
Build-A-Bear Workshop,2016,58,14997308,362,2530,1728,261,11,7,0,0,0,79,56,79,282,137
General Mills,2010,59,184856455,32,2,9,3,1,0,0,0,0,0,24,0,6,0
General Mills,2011,59,184856455,516,66,237,166,26,0,0,0,0,9,253,9,246,107
General Mills,2012,59,184856455,670,102,435,140,46,0,0,0,0,9,417,9,317,271
General Mills,2013,59,184856455,711,149,1295,91,64,0,0,0,0,88,398,88,333,430
General Mills,2014,59,184856455,172,109,11752,10,51,0,0,0,0,63,87,63,83,100
General Mills,2015,59,184856455,212,90,1192,6,116,5,0,0,0,106,145,106,140,120
General Mills,2016,59,184856455,11,17,68,0,8,1,0,0,0,9,7,9,10,7
TDIndustries,2014,60,2870778488,40,17,66,2,10,0,0,0,0,18,33,18,27,18
TDIndustries,2015,60,2870778488,287,116,1346,8,97,13,0,0,0,97,199,97,183,158
TDIndustries,2016,60,2870778488,381,174,2954,7,125,48,0,0,0,112,302,112,208,231
QuikTrip,2015,62,1154321220,2213,6991,4828,1772,19,22,0,0,0,268,269,268,1752,237
QuikTrip,2016,62,1154321220,1022,4746,2311,803,13,17,0,0,0,137,163,137,827,39
